Resume,Interests,Skills,Masters,UG_Specialization,Career_Path
"Trading Java, Programming History Java Developer autocad Masters in Data Science",Trading,"Java, Programming",Masters in Data Science,History,Data Scientist
Technology;Trading;Data scientist Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Communication skills;Problem Solving skills;SQL Computer Science Engineering  No,Technology;Trading;Data scientist,Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Communication skills;Problem Solving skills;SQL,,Computer Science Engineering,Data Scientist
Technology Programming Language skills;Critical Thinking;Communication skills;Problem Solving skills;Risk management skills;C++;Presentation Skills;Linux;Cloud Computing Electronics and Communication Engineering  Assistant System Engineer (TCS) AWS Solution Architect,Technology,Programming Language skills;Critical Thinking;Communication skills;Problem Solving skills;Risk management skills;C++;Presentation Skills;Linux;Cloud Computing,,Electronics and Communication Engineering ,Cloud/DevOps Engineer
Teaching Civil & Criminal Law Physics Student (Unemployed) No Masters in Arts & Literature,Teaching,Civil & Criminal Law,Masters in Arts & Literature,Physics,Academic / Teacher
"Research;Teaching;Technology;Understand human behaviour;Understand human body;Data analytics;Game industry;Data scientist Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Presentation Skills;Python Automobile Engineering Sr. Executive in Data Management.  Data SCience and Machine Learning in 360DigiTMG, Data Visulization in Tableau.",Research;Teaching;Technology;Understand human behaviour;Understand human body;Data analytics;Game industry;Data scientist,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Presentation Skills;Python,,Automobile Engineering,Data Scientist
"Technology;Web Designing;Data analytics;Digital marketing;Data scientist;Web development;Social media marketing Active Listening;Critical Thinking;Artistic/Creative Skills;Analytical Skills;Communication skills;Linux;Python;SQL Computer science   Html,css3, javascript,python",Technology;Web Designing;Data analytics;Digital marketing;Data scientist;Web development;Social media marketing,Active Listening;Critical Thinking;Artistic/Creative Skills;Analytical Skills;Communication skills;Linux;Python;SQL,,Computer science ,Data Scientist
Financial Analysis;Understand human behaviour;Content Writing;Data analytics;Data scientist Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Presentation Skills;Python;SQL;Good communication skills Accounts  No MBA(FINANCE),Financial Analysis;Understand human behaviour;Content Writing;Data analytics;Data scientist,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Presentation Skills;Python;SQL;Good communication skills,MBA(FINANCE),Accounts,Data Scientist
"Technology Java, SQL, Programming, Communication Skills, Team work, Presentation Skills Automobile Engineering Automation in java lang No",Technology,"Java, SQL, Programming, Communication Skills, Team work, Presentation Skills",,Automobile Engineering,Software Developer
"Research, Social Justice, Understand Human Body Writing, Reading Information Technology Mechanical Engineer No Masters in Data Science","Research, Social Justice, Understand Human Body","Writing, Reading",Masters in Data Science,Information Technology,Data Scientist
"Financial Analysis, Technology, Entrepreneurship ML, Python, Business Knowledge, Java, Linux, AWS Electrical and Electronics Engineering Back End Developer JAVA, DATA SCIENCE  Masters in Business Administration","Financial Analysis, Technology, Entrepreneurship","ML, Python, Business Knowledge, Java, Linux, AWS",Masters in Business Administration,Electrical and Electronics Engineering,Data Scientist
Mobile App Development PHP;Programming Language C;Javascript Computer Science Engineering Mobile Application Developer Android Development,Mobile App Development,PHP;Programming Language C;Javascript,,Computer Science Engineering,Mobile App Developer
Govt. Job Artistic/Creative Skills;Leadership;Content creation ZBC  No,Govt. Job,Artistic/Creative Skills;Leadership;Content creation,,ZBC,Content Writer
Information Technology Programming Language skills English  No Master in English,Information Technology,Programming Language skills,Master in English,English,Machine Learning Engineer
"Teaching;Technology;Web Designing;Content Writing Active Listening;Programming Language skills;Gathering Information;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );C++;SQL;Content creation;Medical knowledge;Java;Cloud Computing Computer Applications   C, cpp, java MCA",Teaching;Technology;Web Designing;Content Writing,Active Listening;Programming Language skills;Gathering Information;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );C++;SQL;Content creation;Medical knowledge;Java;Cloud Computing,MCA,Computer Applications ,Content Writer
Understand Human Body Excel Zoology Doctor No B pharmacy,Understand Human Body,Excel,B pharmacy,Zoology,Biotech/Pharma Associate
Service Accounting Skills;Active Listening;Hardware skills;Sales;Social Media Marketing;HR Mechanical  Service Advisor  No,Service,Accounting Skills;Active Listening;Hardware skills;Sales;Social Media Marketing;HR,,Mechanical ,Sales & Marketing Executive
Technology Critical Thinking;Communication skills;SAP  Mechanical Engineering Production Engineer SAP MM,Technology,Critical Thinking;Communication skills;SAP ,,Mechanical Engineering,Mechanical Engineer
Financial Analysis Accounting Skills;Finance related skills Costing Asst finance manager No M. Com,Financial Analysis,Accounting Skills;Finance related skills,M. Com,Costing,Finance Analyst
"Sales/Marketing, Entrepreneurship Python, People Management, Communication Skills, Work under Pressure, Leadership, Creativity Skills, Team work Automobile Engineering Digital/Social Media Marketer No","Sales/Marketing, Entrepreneurship","Python, People Management, Communication Skills, Work under Pressure, Leadership, Creativity Skills, Team work",,Automobile Engineering,Sales & Marketing Executive
Home interior design Artistic/Creative Skills Commerce  No,Home interior design,Artistic/Creative Skills,,Commerce,UI/UX Designer
Industires;Machine Learning;Automotive Textile machineryâ€™s  Technical machine fitter Automobile engineering   No Automobile engineering,Industires;Machine Learning;Automotive Textile machineryâ€™s ,Technical machine fitter,Automobile engineering ,Automobile engineering ,Machine Learning Engineer
Govt. Job Python Electrical and Electronics Engineering CIS  Programming language,Govt. Job,Python,,Electrical and Electronics Engineering,Electrical Engineer
"All fields related to Data science,Machine Learning C#;.NET Framework;Python ;C ;Transact-SQL (T-SQL) Electronics & Telecommunications  
Programmer Analyst Algorithmic Toolbox","All fields related to Data science,Machine Learning",C#;.NET Framework;Python ;C ;Transact-SQL (T-SQL),,Electronics & Telecommunications ,Data Scientist
Data Analytics NO Electrical and Electronics Engineering Assistant system engineer trainee No,Data Analytics,NO,,Electrical and Electronics Engineering,Data Scientist
"Financial Analysis Accounting Skills, Critical Thinking, Analytic Thinking, Business Knowledge, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Risk Managing, Reporting Commerce Operations Management  Six sigma Black belt",Financial Analysis,"Accounting Skills, Critical Thinking, Analytic Thinking, Business Knowledge, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Risk Managing, Reporting",,Commerce,Product Manager
"Technology,Trading Active Listening, Programming, Work under Pressure, Teamwork,Excel,Logical Skills Interpersonal Skills, Presentation skills, Reading Programming SQL Developer No Masters in Business Analytics","Technology,Trading","Active Listening, Programming, Work under Pressure, Teamwork,Excel,Logical Skills Interpersonal Skills, Presentation skills, Reading",Masters in Business Analytics,Programming,Data Scientist
Financial Analysis;Sales/Marketing;Data analytics Accounting Skills;Communication skills;Negotiation skills;Editing;Wealth Management;Presentation Skills Civil Engineering  No MBA,Financial Analysis;Sales/Marketing;Data analytics,Accounting Skills;Communication skills;Negotiation skills;Editing;Wealth Management;Presentation Skills,MBA,Civil Engineering,Sales & Marketing Executive
"Technology ML, Python, SQL Finance Student (Unemployed) No Masters in Computer Science",Technology,"ML, Python, SQL",Masters in Computer Science,Finance,Data Scientist
"Take risk for Profits, Technology, Trading, Entrepreneurship Active Listening, Analytic Thinking, Business Knowledge, Work under Pressure, Team work, Presentation Skills, Writing, Observation Skills, Risk Managing, Reading, Subject Knowledge Computer Science Engineering Front End Developer NPTEL","Take risk for Profits, Technology, Trading, Entrepreneurship","Active Listening, Analytic Thinking, Business Knowledge, Work under Pressure, Team work, Presentation Skills, Writing, Observation Skills, Risk Managing, Reading, Subject Knowledge",,Computer Science Engineering,Content Writer
Data analytics;Data scientist;All fields related to Data science. Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence;SQL Automobile Engineering Data Analyst  Data Vizualization,Data analytics;Data scientist;All fields related to Data science.,Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence;SQL,,Automobile Engineering,Data Scientist
Data scientist Programming Language skills;Analytical Skills;Communication skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL;Good communication skills Information Technology  Board infinity data science,Data scientist,Programming Language skills;Analytical Skills;Communication skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL;Good communication skills,,Information Technology,Data Scientist
Digital marketing;Data scientist;Social media marketing Programming Language skills;People management;Designing skills;Social Media Marketing;Interpersonal skills;Good communication skills Computer Applications Software engineer No,Digital marketing;Data scientist;Social media marketing,Programming Language skills;People management;Designing skills;Social Media Marketing;Interpersonal skills;Good communication skills,,Computer Applications,Sales & Marketing Executive
"Data analytics Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL Statistics  Data science using Python and R, data visualization using Tableau, deep learning and artificial intelligence",Data analytics,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,,Statistics,Data Scientist
Technology;Data analytics;Data scientist;All fields related to Data science. Critical Thinking;Communication skills;Negotiation skills;Python;Good communication skills Computer science   ISO 14001 M.Tech in Environmental science and technology,Technology;Data analytics;Data scientist;All fields related to Data science.,Critical Thinking;Communication skills;Negotiation skills;Python;Good communication skills,M.Tech in Environmental science and technology ,Computer science ,Data Scientist
"Sales/Marketing;Trading;Retailer;Market reserach;Construction Manegement;Excel Business Knowledge;Product knowledge;Problem Solving skills;Risk management skills;Sales;Client management BiotechNAlogy  Listing, Marketting , Stocking and Selling No",Sales/Marketing;Trading;Retailer;Market reserach;Construction Manegement;Excel,Business Knowledge;Product knowledge;Problem Solving skills;Risk management skills;Sales;Client management,,BiotechNAlogy ,Sales & Marketing Executive
"Cloud computing Java Enterprise Edition;Hibernate;Zuul API Gateway;Spring Cloud;Apache ZooKeeper;Amazon EC2;Zoho;Oracle CRM;Spring Boot;Spring MVC;Docker;Apache Drill;Angular Computer ( Languages like  .. C, C++ ,  Java,  C# )  AWS Architect 
Sun Certified Java Programmer",Cloud computing,Java Enterprise Edition;Hibernate;Zuul API Gateway;Spring Cloud;Apache ZooKeeper;Amazon EC2;Zoho;Oracle CRM;Spring Boot;Spring MVC;Docker;Apache Drill;Angular,,"Computer ( Languages like  .. C, C++ ,  Java,  C# ) ",Cloud/DevOps Engineer
"Financial Analysis Accounting Skills, Business Knowledge, Negotiation Skills, Work under Pressure, Interpersonal Skills Computer Science Engineering Articleship  Ipcc group 1",Financial Analysis,"Accounting Skills, Business Knowledge, Negotiation Skills, Work under Pressure, Interpersonal Skills",,Computer Science Engineering,Finance Analyst
"Technology Python, Java Commerce Java Developer No Masters in Banking & Financial Institutions",Technology,"Python, Java",Masters in Banking & Financial Institutions,Commerce,Software Developer
Understand human body Writing skills;Medical knowledge Electronics and communication engineering Dental surgeon  No,Understand human body,Writing skills;Medical knowledge,,Electronics and communication engineering,Content Writer
"Hardware  
Altium Designer;Printed Circuit Board (PCB) Design;NI LabVIEW; Digital electronics semiconductors;Arduino;Xilinx Vivado;Verilog;KiCAD;NI Multisim;Eagle PCB;Electronic Circuit Design;Altium CircuitMaker;Internet of Things (IoT);Electronics Hardware Design;OrCAD Capture CIS;OrCAD Dental surgeon  Hardware PCB Design Engineer Electronics and Hardware Design;USB 2.0",Hardware ,"
Altium Designer;Printed Circuit Board (PCB) Design;NI LabVIEW; Digital electronics semiconductors;Arduino;Xilinx Vivado;Verilog;KiCAD;NI Multisim;Eagle PCB;Electronic Circuit Design;Altium CircuitMaker;Internet of Things (IoT);Electronics Hardware Design;OrCAD Capture CIS;OrCAD",,Dental surgeon ,UI/UX Designer
Understand human body;Govt. Job Medical knowledge;Hospitality Electronics and Communication Engineering  No,Understand human body;Govt. Job,Medical knowledge;Hospitality,,Electronics and Communication Engineering,HR Executive
Technology;Data analytics;Data scientist Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL Biology  No,Technology;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL,,Biology,Data Scientist
Understand human behaviour;Social causes HR;Good communication skills Electronics and Communication Engineering HR executive No MBA,Understand human behaviour;Social causes,HR;Good communication skills,MBA,Electronics and Communication Engineering,HR Executive
"Research Accounting Skills;Active Listening;Hardware skills;Critical Thinking;People management;Communication skills;Leadership;Designing skills;Writing skills IRPM Production field Auto cad, solid works",Research,Accounting Skills;Active Listening;Hardware skills;Critical Thinking;People management;Communication skills;Leadership;Designing skills;Writing skills,,IRPM,Management Professional
Production Supervisor  People management;Leadership;Problem Solving skills Mathematics Production Supervisor  No,Production Supervisor ,People management;Leadership;Problem Solving skills,,Mathematics,Management Professional
Technology;Trading;Data analytics;Data scientist Programming Language skills;Analytical Skills;C++;Python;SQL;Java Mechanical Engineering   Data science and artificial int,Technology;Trading;Data analytics;Data scientist,Programming Language skills;Analytical Skills;C++;Python;SQL;Java,,Mechanical Engineering ,Data Scientist
"Financial Analysis, Research, Technology, Understand Human Behaviour, Understand Human Body AI, ML, Critical Thinking, Analytic Thinking, Civil & Criminal Law, Work under Pressure, Leadership, Problem Solving skills Computer Science Engineering Student (Unemployed) No Masters in Arts & Literature","Financial Analysis, Research, Technology, Understand Human Behaviour, Understand Human Body","AI, ML, Critical Thinking, Analytic Thinking, Civil & Criminal Law, Work under Pressure, Leadership, Problem Solving skills",Masters in Arts & Literature,Computer Science Engineering,HR Executive
"Technology Python, Programming, Communication Skills, Leadership, C++, Writing, Observation Skills Computer Science Engineering Computer Software Engineer No Masters in Computer Science",Technology,"Python, Programming, Communication Skills, Leadership, C++, Writing, Observation Skills",Masters in Computer Science,Computer Science Engineering,Data Scientist
"Cyber Secuirty IBM QRadar;OWASP;Ethical Hacking;Threat & Vulnerability Management;Splunk;Vulnerability Scanning;Malware Analysis;Tenable Nessus;ePolicy Orchestrator;Metasploit;Burp Suite;Security Information and Event Management (SIEM); Computer Science Engineering 
Cyber Security Analyst Offsenive Bug Bounty Hunter 2.0 ;Ethical Hacking: Trojans and Backdoors",Cyber Secuirty,IBM QRadar;OWASP;Ethical Hacking;Threat & Vulnerability Management;Splunk;Vulnerability Scanning;Malware Analysis;Tenable Nessus;ePolicy Orchestrator;Metasploit;Burp Suite;Security Information and Event Management (SIEM);,,Computer Science Engineering,Cybersecurity Analyst
"Financial Analysis Accounting Skills, Active Listening, Cost Accounting, Market Study, Excel, Logical Skills, Problem Solving skills, Writing, Sales, Building Rapport Electronics & Telecommunications  Account Assistant  No Masters in Accounting",Financial Analysis,"Accounting Skills, Active Listening, Cost Accounting, Market Study, Excel, Logical Skills, Problem Solving skills, Writing, Sales, Building Rapport",Masters in Accounting,Electronics & Telecommunications ,Finance Analyst
Sales/Marketing;Digital marketing Active Listening;Critical Thinking;Business Knowledge;Content creation Accountancy  No,Sales/Marketing;Digital marketing,Active Listening;Critical Thinking;Business Knowledge;Content creation,,Accountancy,Sales & Marketing Executive
Data analytics;Data scientist Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence Mechanical engineering  Python instructor Data science AI ML Masters of Technology,Data analytics;Data scientist,Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence,Masters of Technology,Mechanical engineering ,Data Scientist
News Coverage;Technology Gathering Information;Business Knowledge;Analytical Skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Mass Communication;Leadership Electronics and Communication Engineering Crime reporter  Journalism,News Coverage;Technology,Gathering Information;Business Knowledge;Analytical Skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Mass Communication;Leadership,,Electronics and Communication Engineering,Journalist
"Teaching Critical Thinking, Artistic skills, Communication Skills, Editing, Interpersonal Skills, Reporting, Reading, Subject Knowledge Mathematics  Teacher PGDBM , Psychotherapy and Counselling MA Psychology",Teaching,"Critical Thinking, Artistic skills, Communication Skills, Editing, Interpersonal Skills, Reporting, Reading, Subject Knowledge",MA Psychology,Mathematics ,Academic / Teacher
Trading Team work Psychology Stock Trader No Masters in Accounting,Trading,Team work,Masters in Accounting,Psychology,Clinical Psychologist
"News Coverage, Social Justice Python, Gathering Informing, Business Knowledge Accountancy Mechanical Engineer No Masters in Psychology","News Coverage, Social Justice","Python, Gathering Informing, Business Knowledge",Masters in Psychology,Accountancy,Business Analyst
Data Analytics NO Communication & Political Science Software Developer Executive No,Data Analytics,NO,,Communication & Political Science,Data Scientist
"Research Editing, Writing, Observation Skills, Reading Computer Science Engineering Student (Unemployed) No Masters in Science",Research,"Editing, Writing, Observation Skills, Reading",Masters in Science,Computer Science Engineering,Data Scientist
"Research Editing, Writing, Observation Skills, Reading History Student (Unemployed) No Masters in Science",Research,"Editing, Writing, Observation Skills, Reading",Masters in Science,History,Content Writer
Software Job NO History graduatee engineer No,Software Job,NO,,History,Software Developer
"Teaching, Entrepreneurship Active Listening, Communication Skills, Leadership, Creativity Skills, Presentation Skills, Problem Solving skills, Writing, Tableau, Reading, Subject Knowledge Electrical and Electronics Engineering Student (Unemployed) Data science  Masters in Computer Science","Teaching, Entrepreneurship","Active Listening, Communication Skills, Leadership, Creativity Skills, Presentation Skills, Problem Solving skills, Writing, Tableau, Reading, Subject Knowledge",Masters in Computer Science,Electrical and Electronics Engineering,Data Scientist
Research;Game industry;Data scientist Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence;Good communication skills Computer Science Engineering  Data science  MSc in Statistics,Research;Game industry;Data scientist,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence;Good communication skills,MSc in Statistics ,Computer Science Engineering,Data Scientist
Teaching;Web Designing;Data analytics;Govt. Job;Data scientist;All fields related to Data science.;SAP Consultant in MM;Information Technology;Machine Learning;Automotive Textile machineryâ€™s Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Machine Learning skills;Wealth Management;Presentation Skills;SAP Statistics   No,Teaching;Web Designing;Data analytics;Govt. Job;Data scientist;All fields related to Data science.;SAP Consultant in MM;Information Technology;Machine Learning;Automotive Textile machineryâ€™s,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Machine Learning skills;Wealth Management;Presentation Skills;SAP,,Statistics ,Data Scientist
Govt. Job Accounting Skills;Programming Language skills;Editing;Writing skills;Python;HR;Good communication skills Mathematics  Senior assistant delivery coordinator  Data science,Govt. Job,Accounting Skills;Programming Language skills;Editing;Writing skills;Python;HR;Good communication skills,,Mathematics ,Data Scientist
Information Technology SQL;Java;Javascript Mathematics  Programmer  Java developer,Information Technology,SQL;Java;Javascript,,Mathematics ,Software Developer
Research;Data analytics;Data scientist Active Listening;Designing skills;Python Computer Applications  Modeler  From ibm machine learning with python,Research;Data analytics;Data scientist,Active Listening;Designing skills;Python,,Computer Applications ,Data Scientist
News Coverage;Research;Social Justice;Technology;Trading;Understand human behaviour;Supply Chain Analysis;Data analytics;Digital marketing;Data scientist;Market reserach;Social media marketing Data Visualization skills( Power Bi/ Tableau );Python;SQL;Client management;Good communication skills Mechanical Engineering BA No Master's in marketing and finance,News Coverage;Research;Social Justice;Technology;Trading;Understand human behaviour;Supply Chain Analysis;Data analytics;Digital marketing;Data scientist;Market reserach;Social media marketing,Data Visualization skills( Power Bi/ Tableau );Python;SQL;Client management;Good communication skills,Master's in marketing and finance ,Mechanical Engineering,Data Scientist
"Sales/Marketing;Technology;Supply Chain Analysis;Govt. Job;Market reserach;Infrastructure;Design Accounting Skills;Finance related skills;People management;Civil & Criminal Law Mechanical Engineering Quality Engineer Mscit ,catia v5, autocad , MBA",Sales/Marketing;Technology;Supply Chain Analysis;Govt. Job;Market reserach;Infrastructure;Design,Accounting Skills;Finance related skills;People management;Civil & Criminal Law,MBA,Mechanical Engineering,Sales & Marketing Executive
"Financial Analysis Business Analytics;Risk Analytics;SAS;Marketing Management;Market Research;Business Strategy;CommercialBanking;Portfolio Management;Supply Chain Management;Business Process Reengineering;Consumer Behaviour;Long-term Customer Relationships;Retail Marketing;Financial Accounting;credit risk modeling;Security Analysis;Working Capital Management;trategic Marketing;Investment Banking;Structured Finance Mechanical Engineering Investment Banking Analyst 
Chartered Banker Masters in Marketing and Finance",Financial Analysis,Business Analytics;Risk Analytics;SAS;Marketing Management;Market Research;Business Strategy;CommercialBanking;Portfolio Management;Supply Chain Management;Business Process Reengineering;Consumer Behaviour;Long-term Customer Relationships;Retail Marketing;Financial Accounting;credit risk modeling;Security Analysis;Working Capital Management;trategic Marketing;Investment Banking;Structured Finance,Masters in Marketing and Finance,Mechanical Engineering,Sales & Marketing Executive
"Financial Analysis;Sales/Marketing;Trading;Supply Chain Analysis;Data analytics;Industires;Blockchain;Salesforce Admin;Agriculture, services;Excel Accounting Skills;Hardware skills;Critical Thinking;Analytical Skills;Finance related skills;People management;Product knowledge Computer Science Engineering  No","Financial Analysis;Sales/Marketing;Trading;Supply Chain Analysis;Data analytics;Industires;Blockchain;Salesforce Admin;Agriculture, services;Excel",Accounting Skills;Hardware skills;Critical Thinking;Analytical Skills;Finance related skills;People management;Product knowledge,,Computer Science Engineering,Data Scientist
"Technology Critical Thinking, Analytic Thinking, Business Knowledge, SQL, Programming, Communication Skills, Work under Pressure, Editing, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Tableau, Building Rapport Computer Software Engineer Computer Software Engineer No",Technology,"Critical Thinking, Analytic Thinking, Business Knowledge, SQL, Programming, Communication Skills, Work under Pressure, Editing, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Tableau, Building Rapport",,Computer Software Engineer,Software Developer
Financial Analysis;News Coverage;Digital marketing Accounting Skills;Active Listening;Business Knowledge;Leadership;HR Mechanical Engineering  Tally pro,Financial Analysis;News Coverage;Digital marketing,Accounting Skills;Active Listening;Business Knowledge;Leadership;HR,,Mechanical Engineering,Sales & Marketing Executive
Content Writing Artistic/Creative Skills;Communication skills;Mass Communication;Writing skills;Content creation Finance  Journalist  No Masters in Mass Communications,Content Writing,Artistic/Creative Skills;Communication skills;Mass Communication;Writing skills;Content creation,Masters in Mass Communications,Finance ,Content Writer
News Coverage;Understand human behaviour;Content Writing;Govt. Job;Social causes Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Mass Communication;Editing;Writing skills;Content creation Arts Junior sub editor No Masters of journalism,News Coverage;Understand human behaviour;Content Writing;Govt. Job;Social causes,Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Mass Communication;Editing;Writing skills;Content creation,Masters of journalism,Arts,Content Writer
News Coverage;Digital marketing Active Listening;People management;Communication skills;Leadership;Editing;Social Media Marketing Journalism Content Creator No Masters of journalism,News Coverage;Digital marketing,Active Listening;People management;Communication skills;Leadership;Editing;Social Media Marketing,Masters of journalism,Journalism,Sales & Marketing Executive
"Understand human behaviour Active Listening;Business Knowledge;Communication skills;Product knowledge Arts Project Coordinator Adca  , Tally  MBA, Masters in Marketing",Understand human behaviour,Active Listening;Business Knowledge;Communication skills;Product knowledge,"MBA, Masters in Marketing",Arts,Management Professional
Technology Python Accounts  data science,Technology,Python,,Accounts,Data Scientist
"Technology AI, ML, Python, Java Statistics Java Developer No Masters in Business Administration",Technology,"AI, ML, Python, Java",Masters in Business Administration,Statistics,Data Scientist
Social media marketing;Design Designing skills;Machine Learning skills;Social Media Marketing Electronics and Communication Engineering DET No,Social media marketing;Design,Designing skills;Machine Learning skills;Social Media Marketing,,Electronics and Communication Engineering,Sales & Marketing Executive
Research;Technology;Data analytics;Data scientist Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills;Communication skills;Problem Solving skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;C++;Python;SQL;Good communication skills Mechanical Engineering  Electric vehicles and Hybrid electric vehicles,Research;Technology;Data analytics;Data scientist,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills;Communication skills;Problem Solving skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;C++;Python;SQL;Good communication skills,,Mechanical Engineering,Data Scientist
Sales/Marketing;Technology;Product Life cycle Management People management;Leadership Mechanical Engineering Mechanical Supervisor  No,Sales/Marketing;Technology;Product Life cycle Management,People management;Leadership,,Mechanical Engineering,Management Professional
Supply Chain Analysis;Product Life cycle Management Leadership;Product knowledge;Sales Mechanical Engineering  Quality Engineer  No,Supply Chain Analysis;Product Life cycle Management,Leadership;Product knowledge;Sales,,Mechanical Engineering ,Product Manager
Service Accounting Skills;Active Listening;Hardware skills;Leadership;Problem Solving skills;Good communication skills Mechanical Engineering   No,Service,Accounting Skills;Active Listening;Hardware skills;Leadership;Problem Solving skills;Good communication skills,,Mechanical Engineering ,Management Professional
Construction Civil & Criminal Law Chemistry Civil engineer No Masters in Computer Science,Construction,Civil & Criminal Law,Masters in Computer Science,Chemistry,Civil Engineer
Data analytics Leadership;Machine Learning skills;Python;SQL;MATLAB Civil engineering  MS office and advance excel Masters in computer science,Data analytics,Leadership;Machine Learning skills;Python;SQL;MATLAB,Masters in computer science,Civil engineering,Data Scientist
Technology;Data analytics;All fields related to Data science. Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Editing;Problem Solving skills;Risk management skills;Python;SQL;Java;Good communication skills Computer Science Engineering Test Analyst Selenium testing Java Masters in Computer application (MCA),Technology;Data analytics;All fields related to Data science.,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Editing;Problem Solving skills;Risk management skills;Python;SQL;Java;Good communication skills,Masters in Computer application (MCA),Computer Science Engineering,Data Scientist
News Coverage;Research;Technology;Trading;Understand human behaviour;Understand human body Accounting Skills;Active Listening;Gathering Information;Analytical Skills;Negotiation skills;Mass Communication Computers  No,News Coverage;Research;Technology;Trading;Understand human behaviour;Understand human body,Accounting Skills;Active Listening;Gathering Information;Analytical Skills;Negotiation skills;Mass Communication,,Computers,HR Executive
